 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,       
 0004.175781, 000981,  0.098, _,    -00030, 000073, -00036,    
 0004.185547, 000980,  0.098, _,    -00033, 000076, -00037,    
 0004.195312, 000981,  0.098, _,    -00043, 000080, -00034,    
 0004.205078, 000981,  0.098, _,    -00030, 000078, -00034,    
 0004.216797, 000980,  0.098, _,    -00028, 000073, -00038,    
 0004.226562, 000980,  0.098, _,    -00032, 000073, -00031,    
 0004.236328, 000982,  0.098, _,    -00034, 000078, -00033,    
 0004.246094, 000981,  0.098, _,    -00036, 000074, -00028,    
 0004.255859, 000980,  0.098, _,    -00038, 000076, -00030,    
 0004.265625, 000981,  0.098, _,    -00031, 000079, -00036,    
 0004.275391, 000980,  0.098, _,    -00045, 000075, -00030,    
 0004.285156, 000981,  0.098, _,    -00029, 000075, -00037,    
 0004.296875, 000981,  0.098, _,    -00028, 000074, -00029,    
 0004.306641, 000980,  0.098, _,    -00030, 000068, -00048,    
 0004.316406, 000982,  0.098, _,    -00036, 000067, -00038,    
 0004.326172, 000980,  0.098, _,    -00026, 000069, -00037,    
 0004.335938, 000981,  0.098, _,    -00034, 000077, -00029,    
 0004.345703, 000980,  0.098, _,    -00032, 000075, -00033,    
 0004.355469, 000981,  0.098, _,    -00037, 000085, -00034,    
 0004.365234, 000980,  0.098, _,    -00036, 000080, -00035,    
 0004.375000, 000981,  0.098, _,    -00039, 000075, -00039,    
 0004.386719, 000981,  0.098, _,    -00031, 000076, -00032,    
 0004.396484, 000982,  0.098, _,    -00033, 000073, -00031,    
 0004.406250, 000980,  0.098, _,    -00032, 000079, -00035,    
 0004.416016, 000983,  0.098, _,    -00036, 000079, -00034,    
 0004.425781, 000982,  0.098, _,    -00030, 000081, -00033,    
 0004.435547, 000984,  0.098, _,    -00035, 000065, -00033,    
 0004.445312, 000983,  0.098, _,    -00033, 000072, -00028,    
 0004.455078, 000981,  0.098, _,    -00034, 000077, -00030,    
 0004.466797, 000982,  0.098, _,    -00042, 000081, -00041,    
 0004.476562, 000980,  0.098, _,    -00030, 000082, -00029,    
 0004.486328, 000980,  0.098, _,    -00037, 000080, -00031,    
 0004.496094, 000982,  0.098, _,    -00040, 000079, -00039,    
 0004.505859, 000981,  0.098, _,    -00039, 000074, -00036,    
 0004.515625, 000981,  0.098, _,    -00040, 000078, -00034,    
 0004.525391, 000981,  0.098, _,    -00025, 000069, -00035,    
 0004.535156, 000980,  0.098, _,    -00041, 000079, -00034,    
 0004.546875, 000985,  0.099, _,    -00037, 000079, -00035,    
 0004.556641, 000991,  0.099, _,    -00039, 000077, -00040,    
 0004.566406, 000988,  0.099, _,    -00032, 000069, -00032,    
 0004.576172, 000981,  0.098, _,    -00031, 000075, -00035,    
 0004.585938, 000981,  0.098, _,    -00027, 000075, -00032,    
 0004.595703, 000982,  0.098, _,    -00038, 000069, -00036,    
 0004.605469, 000982,  0.098, _,    -00038, 000074, -00034,    
 0004.615234, 000984,  0.098, _,    -00033, 000076, -00033,    
 0004.625000, 000980,  0.098, _,    -00032, 000073, -00036,    
 0004.636719, 000980,  0.098, _,    -00035, 000074, -00033,    
 0004.646484, 000981,  0.098, _,    -00038, 000076, -00032,    
 0004.656250, 000982,  0.098, _,    -00034, 000078, -00027,    
 0004.666016, 000981,  0.098, _,    -00038, 000077, -00032,    
 0004.675781, 000981,  0.098, _,    -00035, 000078, -00034,    
 0004.685547, 000980,  0.098, _,    -00039, 000075, -00032,    
 0004.695312, 000981,  0.098, _,    -00030, 000072, -00041,    
 0004.705078, 000983,  0.098, _,    -00042, 000071, -00025,    
 0004.716797, 000982,  0.098, _,    -00036, 000080, -00030,    
 0004.726562, 000983,  0.098, _,    -00026, 000079, -00031,    
 0004.736328, 000980,  0.098, _,    -00036, 000080, -00028,    
 0004.746094, 000979,  0.098, _,    -00041, 000074, -00033,    
 0004.755859, 000981,  0.098, _,    -00029, 000078, -00040,    
 0004.765625, 000979,  0.098, _,    -00032, 000072, -00026,    
 0004.775391, 000980,  0.098, _,    -00030, 000075, -00030,    
 0004.785156, 000980,  0.098, _,    -00031, 000071, -00032,    
 0004.796875, 000980,  0.098, _,    -00038, 000071, -00032,    
 0004.806641, 000982,  0.098, _,    -00029, 000078, -00032,    
 0004.816406, 000981,  0.098, _,    -00034, 000081, -00030,    
 0004.826172, 000980,  0.098, _,    -00038, 000078, -00039,    
 0004.835938, 000980,  0.098, _,    -00034, 000077, -00030,    
 0004.845703, 000981,  0.098, _,    -00039, 000076, -00041,    
