 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.631348, 000975,  0.975, _,    -00029, 000080, -00030,    
 0001.632324, 000975,  0.975, _,    -00028, 000086, -00031,    
 0001.633301, 000975,  0.975, _,    -00031, 000092, -00032,    
 0001.634277, 000974,  0.974, _,    -00037, 000089, -00029,    
 0001.635254, 000975,  0.975, _,    -00038, 000083, -00029,    
 0001.636230, 000975,  0.975, _,    -00033, 000078, -00033,    
 0001.637207, 000974,  0.974, _,    -00032, 000075, -00038,    
 0001.638184, 000975,  0.975, _,    -00034, 000079, -00039,    
 0001.639160, 000977,  0.977, _,    -00034, 000083, -00041,    
 0001.640137, 000977,  0.977, _,    -00036, 000084, -00044,    
 0001.641113, 000976,  0.976, _,    -00037, 000078, -00042,    
 0001.642090, 000975,  0.975, _,    -00038, 000074, -00034,    
 0001.643066, 000976,  0.976, _,    -00037, 000071, -00028,    
 0001.644043, 000976,  0.976, _,    -00036, 000074, -00030,    
 0001.645020, 000978,  0.978, _,    -00031, 000077, -00035,    
 0001.645996, 000978,  0.978, _,    -00030, 000080, -00031,    
 0001.646973, 000978,  0.978, _,    -00030, 000081, -00025,    
 0001.647949, 000977,  0.977, _,    -00030, 000076, -00026,    
 0001.648926, 000981,  0.981, _,    -00031, 000079, -00031,    
 0001.649902, 000976,  0.976, _,    -00033, 000082, -00030,    
 0001.651367, 000977,  0.977, _,    -00037, 000079, -00028,    
 0001.652344, 000977,  0.977, _,    -00041, 000075, -00028,    
 0001.653320, 000978,  0.978, _,    -00042, 000077, -00032,    
 0001.654297, 000978,  0.978, _,    -00042, 000082, -00033,    
 0001.655273, 000977,  0.977, _,    -00038, 000082, -00033,    
 0001.656250, 000978,  0.978, _,    -00032, 000078, -00031,    
 0001.657227, 000977,  0.977, _,    -00034, 000078, -00029,    
 0001.658203, 000977,  0.977, _,    -00042, 000079, -00028,    
 0001.659180, 000980,  0.980, _,    -00046, 000078, -00031,    
 0001.660156, 000976,  0.976, _,    -00044, 000077, -00034,    
 0001.661133, 000978,  0.978, _,    -00039, 000078, -00034,    
 0001.662109, 000978,  0.978, _,    -00035, 000082, -00029,    
 0001.663086, 000977,  0.977, _,    -00034, 000083, -00026,    
 0001.664062, 000977,  0.977, _,    -00035, 000078, -00032,    
 0001.665039, 000977,  0.977, _,    -00039, 000080, -00037,    
 0001.666016, 000979,  0.979, _,    -00040, 000083, -00031,    
 0001.666992, 000976,  0.976, _,    -00042, 000080, -00027,    
 0001.667969, 000977,  0.977, _,    -00044, 000076, -00033,    
 0001.668945, 000980,  0.980, _,    -00044, 000069, -00038,    
 0001.669922, 000976,  0.976, _,    -00043, 000070, -00035,    
 0001.670898, 000976,  0.976, _,    -00042, 000075, -00033,    
 0001.672363, 000978,  0.978, _,    -00039, 000078, -00034,    
 0001.673340, 000977,  0.977, _,    -00038, 000080, -00034,    
 0001.674316, 000978,  0.978, _,    -00040, 000081, -00035,    
 0001.675293, 000978,  0.978, _,    -00037, 000082, -00035,    
 0001.676270, 000977,  0.977, _,    -00035, 000084, -00033,    
 0001.677246, 000985,  0.985, _,    -00037, 000084, -00032,    
 0001.678223, 000977,  0.977, _,    -00039, 000080, -00028,    
 0001.679199, 000978,  0.978, _,    -00037, 000075, -00026,    
 0001.680176, 000977,  0.977, _,    -00036, 000073, -00032,    
