 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0002.395996, 000914,    0057, 0195, -041,    0057.00, 0195.00, -041.00,    -0.1854, -0.4469, 00.7443,    
 0002.406006, 000913,    0070, 0193, -041,    0070.00, 0193.00, -041.00,    -0.2584, -0.4358, 00.7443,    
 0002.415955, 000917,    0064, 0195, -036,    0064.00, 0195.00, -036.00,    -0.2247, -0.4469, 00.7727,    
 0002.425964, 000916,    0061, 0195, -044,    0061.00, 0195.00, -044.00,    -0.2079, -0.4469, 00.7273,    
 0002.435974, 000923,    0061, 0193, -041,    0061.00, 0193.00, -041.00,    -0.2079, -0.4358, 00.7443,    
 0002.445984, 000913,    0067, 0195, -044,    0067.00, 0195.00, -044.00,    -0.2416, -0.4469, 00.7273,    
 0002.455994, 000915,    0064, 0195, -042,    0064.00, 0195.00, -042.00,    -0.2247, -0.4469, 00.7386,    
 0002.466003, 000912,    0064, 0191, -041,    0064.00, 0191.00, -041.00,    -0.2247, -0.4246, 00.7443,    
 0002.475952, 000913,    0061, 0188, -041,    0061.00, 0188.00, -041.00,    -0.2079, -0.4078, 00.7443,    
 0002.485962, 000912,    0064, 0198, -046,    0064.00, 0198.00, -046.00,    -0.2247, -0.4637, 00.7159,    
 0002.495972, 000914,    0066, 0191, -039,    0066.00, 0191.00, -039.00,    -0.2360, -0.4246, 00.7557,    
 0002.505981, 000913,    0064, 0191, -044,    0064.00, 0191.00, -044.00,    -0.2247, -0.4246, 00.7273,    
 0002.515991, 000910,    0067, 0194, -042,    0067.00, 0194.00, -042.00,    -0.2416, -0.4413, 00.7386,    
 0002.526001, 000911,    0062, 0197, -045,    0062.00, 0197.00, -045.00,    -0.2135, -0.4581, 00.7216,    
 0002.536011, 000913,    0060, 0190, -038,    0060.00, 0190.00, -038.00,    -0.2022, -0.4190, 00.7614,    
 0002.545959, 000913,    0065, 0192, -045,    0065.00, 0192.00, -045.00,    -0.2303, -0.4302, 00.7216,    
 0002.555969, 000912,    0061, 0191, -041,    0061.00, 0191.00, -041.00,    -0.2079, -0.4246, 00.7443,    
 0002.565979, 000911,    0067, 0194, -042,    0067.00, 0194.00, -042.00,    -0.2416, -0.4413, 00.7386,    
 0002.575989, 000913,    0062, 0192, -042,    0062.00, 0192.00, -042.00,    -0.2135, -0.4302, 00.7386,    
 0002.585999, 000913,    0062, 0190, -045,    0062.00, 0190.00, -045.00,    -0.2135, -0.4190, 00.7216,    
 0002.596008, 000916,    0061, 0188, -039,    0061.00, 0188.00, -039.00,    -0.2079, -0.4078, 00.7557,    
 0002.605957, 000916,    0062, 0192, -042,    0062.00, 0192.00, -042.00,    -0.2135, -0.4302, 00.7386,    
 0002.615967, 000914,    0060, 0194, -045,    0060.00, 0194.00, -045.00,    -0.2022, -0.4413, 00.7216,    
